#Time Stamp Bertram Road - Level (ft) Bertram Road - Rain Fall (in) Bertram Road – Cumul Rain Fall (in) Bertram Road - Temperature (F) Bertram Road - Temperature (F)
#1 2 3 4 5 6 7
11/26/2014 2:15 1.47 0.02 0.13  0
11/26/2014 2:20  0.01 0.14  0
11/26/2014 2:25  0 0.14  0
11/26/2014 2:30 1.55 0 0.14  0
11/26/2014 2:35  0.01 0.15  0
11/26/2014 2:40  0 0.15  0
11/26/2014 2:45 1.62 0.01 0.16  0
11/26/2014 2:50  0 0.16  0
11/26/2014 2:55  0 0.16  0
11/26/2014 3:00 1.74 0.01 0.17 50 50
11/26/2014 3:05  0 0.17  0
11/26/2014 3:10  0 0.17  0
11/26/2014 3:15 1.82 0 0.17  0
11/26/2014 3:20  0.01 0.18  0
11/26/2014 3:25  0 0.18  0
11/26/2014 3:30 1.89 0 0.18  0
11/26/2014 3:35  0.02 0.2  0
11/26/2014 3:40  0.02 0.22  0
11/26/2014 3:45 1.92 0.01 0.23  0
11/26/2014 3:50  0 0.23  0
11/26/2014 3:55  0.01 0.24  0
11/26/2014 4:00 1.95 0.01 0.25 50 50
11/26/2014 4:05  0 0.25  0
11/26/2014 4:10  0.02 0.27  0
11/26/2014 4:15 1.97 0.01 0.28  0
11/26/2014 4:20  0.02 0.3  0
11/26/2014 4:25  0.01 0.31  0
11/26/2014 4:30 2.01 0.01 0.32  0
11/26/2014 4:35  0 0.32  0
11/26/2014 4:40  0 0.32  0
11/26/2014 4:45 2.1 0.01 0.33  0
11/26/2014 4:50  0 0.33  0
11/26/2014 4:55  0.01 0.34  0
11/26/2014 5:00 2.17 0 0.34 50 50
11/26/2014 5:05  0 0.34  0
11/26/2014 5:10  0.01 0.35  0
11/26/2014 5:15 2.23 0 0.35  0
11/26/2014 5:20  0.01 0.36  0
11/26/2014 5:25  0 0.36  0
11/26/2014 5:30 2.25 0.01 0.37  0
11/26/2014 5:35  0 0.37  0
11/26/2014 5:40  0 0.37  0
11/26/2014 5:45 2.23 0.01 0.38  0
11/26/2014 5:50  0 0.38  0
11/26/2014 5:55  0 0.38  0
11/26/2014 6:00 2.2 0 0.38 50 50
11/26/2014 6:05  0.01 0.39  0
11/26/2014 6:10  0 0.39  0
11/26/2014 6:15 2.16 0 0.39  0
11/26/2014 6:20  0.01 0.4  0
11/26/2014 6:25  0.01 0.41  0
11/26/2014 6:30 2.11 0 0.41  0
11/26/2014 6:35  0.01 0.42  0
11/26/2014 6:40  0 0.42  0
11/26/2014 6:45 2.08 0.01 0.43  0
11/26/2014 6:50  0 0.43  0
11/26/2014 6:55  0.01 0.44  0
11/26/2014 7:00 2.06 0 0.44 50 50
11/26/2014 7:05  0.01 0.45  0
11/26/2014 7:10  0 0.45  0
11/26/2014 7:15 2.05 0.01 0.46  0
11/26/2014 7:20  0 0.46  0
11/26/2014 7:25  0 0.46  0
11/26/2014 7:30 2.05 0.01 0.47  0
11/26/2014 7:35  0.01 0.48  0
11/26/2014 7:40  0 0.48  0
11/26/2014 7:45 2.05 0 0.48  0
11/26/2014 7:50  0 0.48  0
11/26/2014 7:55  0.01 0.49  0
11/26/2014 8:00 2.05 0 0.49 50 50
11/26/2014 8:05  0 0.49  0
11/26/2014 8:10  0.01 0.5  0
11/26/2014 8:15 2.04 0 0.5  0
11/26/2014 8:20  0 0.5  0
11/26/2014 8:25  0.01 0.51  0
11/26/2014 8:30 2.04 0 0.51  0
11/26/2014 8:35  0.01 0.52  0
11/26/2014 8:40  0 0.52  0
11/26/2014 8:45 2.03 0 0.52  0
11/26/2014 8:50  0 0.52  0
11/26/2014 8:55  0 0.52  0
11/26/2014 9:00 2.01 0 0 51 51
11/26/2014 9:05  0 0  0
11/26/2014 9:10  0 0  0
11/26/2014 9:15 2 0 0  0
11/26/2014 9:20  0 0  0
11/26/2014 9:25  0 0  0
11/26/2014 9:30 1.99 0 0  0
11/26/2014 9:35  0 0  0
11/26/2014 9:40  0 0  0
11/26/2014 9:45 1.95 0 0  0
11/26/2014 9:50  0 0  0
11/26/2014 9:55  0 0  0
11/26/2014 10:00 1.91 0 0 56 56
11/26/2014 10:05  0 0  0
11/26/2014 10:10  0 0  0
11/26/2014 10:15 1.87 0 0  0
11/26/2014 10:20  0 0  0
11/26/2014 10:25  0 0  0
11/26/2014 10:30 1.81 0 0  0
11/26/2014 10:35  0 0  0
11/26/2014 10:40  0 0  0
11/26/2014 10:45 1.76 0 0  0
11/26/2014 10:50  0 0  0
11/26/2014 10:55  0 0  0
11/26/2014 11:00 1.72 0 0 60 60
11/26/2014 11:05  0 0  0
11/26/2014 11:10  0 0  0
11/26/2014 11:15 1.68 0 0  0
11/26/2014 11:20  0 0  0
11/26/2014 11:25  0 0  0
11/26/2014 11:30 1.63 0 0  0
11/26/2014 11:35  0 0  0
11/26/2014 11:40  0 0  0
11/26/2014 11:45 1.6 0 0  0
11/26/2014 11:50  0 0  0
11/26/2014 11:55  0 0  0
11/26/2014 12:00 1.56 0 0 61 61
11/26/2014 12:05  0 0  0
11/26/2014 12:10  0 0  0
11/26/2014 12:15 1.52 0 0  0
11/26/2014 12:20  0 0  0
11/26/2014 12:25  0 0  0
11/26/2014 12:30 1.5 0 0  0
11/26/2014 12:35  0 0  0
11/26/2014 12:40  0 0  0
11/26/2014 12:45 1.46 0 0  0
11/26/2014 12:50  0 0  0
11/26/2014 12:55  0 0  0
11/26/2014 13:00 1.44 0 0 64 64
11/26/2014 13:05  0 0  0
11/26/2014 13:10  0 0  0
11/26/2014 13:15 1.43 0 0  0
11/26/2014 13:20  0 0  0
11/26/2014 13:25  0 0  0
11/26/2014 13:30 1.41 0 0  0
11/26/2014 13:35  0 0  0
11/26/2014 13:40  0 0  0
11/26/2014 13:45 1.38 0 0  0
11/26/2014 13:50  0 0  0
11/26/2014 13:55  0 0  0
11/26/2014 14:00 1.36 0 0 65 65
11/26/2014 14:05  0 0  0
11/26/2014 14:10  0 0  0
11/26/2014 14:15 1.35 0 0  0
11/26/2014 14:20  0 0  0
11/26/2014 14:25  0 0  0
11/26/2014 14:30 1.34 0 0  0
11/26/2014 14:35  0 0  0
11/26/2014 14:40  0 0  0
11/26/2014 14:45 1.33 0 0  0
11/26/2014 14:50  0 0  0
11/26/2014 14:55  0 0  0
11/26/2014 15:00 1.32 0 0 60 60
11/26/2014 15:05  0 0  0
11/26/2014 15:10  0 0  0
11/26/2014 15:15 1.31 0 0  0
11/26/2014 15:20  0 0  0
11/26/2014 15:25  0 0  0
11/26/2014 15:30 1.29 0 0  0
11/26/2014 15:35  0 0  0
11/26/2014 15:40  0 0  0
11/26/2014 15:45 1.28 0 0  0
11/26/2014 15:50  0 0  0
11/26/2014 15:55  0 0  0
11/26/2014 16:00 1.27 0 0 57 57
11/26/2014 16:05  0 0  0
11/26/2014 16:10  0 0  0
11/26/2014 16:15 1.26 0 0  0
11/26/2014 16:20  0 0  0
11/26/2014 16:25  0 0  0
11/26/2014 16:30 1.25 0 0  0
11/26/2014 16:35  0 0  0
11/26/2014 16:40  0 0  0
11/26/2014 16:45 1.24 0 0  0
11/26/2014 16:50  0 0  0
11/26/2014 16:55  0 0  0
11/26/2014 17:00 1.23 0 0 52 52
11/26/2014 17:05  0 0  0
11/26/2014 17:10  0 0  0
11/26/2014 17:15 1.22 0 0  0
11/26/2014 17:20  0 0  0
11/26/2014 17:25  0 0  0
11/26/2014 17:30 1.21 0 0  0
11/26/2014 17:35  0 0  0
11/26/2014 17:40  0 0  0
11/26/2014 17:45 1.2 0 0  0
11/26/2014 17:50  0 0  0
11/26/2014 17:55  0 0  0
11/26/2014 18:00 1.19 0 0 48 48
11/26/2014 18:05  0 0  0
11/26/2014 18:10  0 0  0
11/26/2014 18:15 1.19 0 0  0
11/26/2014 18:20  0 0  0
11/26/2014 18:25  0 0  0
11/26/2014 18:30 1.18 0 0  0
11/26/2014 18:35  0 0  0
11/26/2014 18:40  0 0  0
11/26/2014 18:45 1.17 0 0  0
11/26/2014 18:50  0 0  0
11/26/2014 18:55  0 0  0
11/26/2014 19:00 1.16 0 0 46 46
11/26/2014 19:05  0 0  0
11/26/2014 19:10  0 0  0
11/26/2014 19:15 1.14 0 0  0
11/26/2014 19:20  0 0  0
11/26/2014 19:25  0 0  0
11/26/2014 19:30 1.12 0 0  0
11/26/2014 19:35  0 0  0
11/26/2014 19:40  0 0  0
11/26/2014 19:45 1.1 0 0  0
11/26/2014 19:50  0 0  0
11/26/2014 19:55  0 0  0
11/26/2014 20:00 1.09 0 0 44 44
11/26/2014 20:05  0 0  0
11/26/2014 20:10  0 0  0
11/26/2014 20:15 1.09 0 0  0
11/26/2014 20:20  0 0  0
11/26/2014 20:25  0 0  0
11/26/2014 20:30 1.09 0 0  0
11/26/2014 20:35  0 0  0
11/26/2014 20:40  0 0  0
11/26/2014 20:45 1.09 0 0  0
11/26/2014 20:50  0 0  0
11/26/2014 20:55  0 0  0
11/26/2014 21:00 1.1 0 0 42 42
11/26/2014 21:05  0 0  0
11/26/2014 21:10  0 0  0
11/26/2014 21:15 1.11 0 0  0
11/26/2014 21:20  0 0  0
11/26/2014 21:25  0 0  0
11/26/2014 21:30 1.1 0 0  0
11/26/2014 21:35  0 0  0
11/26/2014 21:40  0 0  0
11/26/2014 21:45 1.1 0 0  0
11/26/2014 21:50  0 0  0
11/26/2014 21:55  0 0  0
11/26/2014 22:00 1.11 0 0 41 41
11/26/2014 22:05  0 0  0
11/26/2014 22:10  0 0  0
11/26/2014 22:15 1.11 0 0  0
11/26/2014 22:20  0 0  0
11/26/2014 22:25  0 0  0
11/26/2014 22:30 1.11 0 0  0
11/26/2014 22:35  0 0  0
11/26/2014 22:40  0 0  0
11/26/2014 22:45 1.1 0 0  0
11/26/2014 22:50  0 0  0
11/26/2014 22:55  0 0  0
11/26/2014 23:00 1.09 0 0 40 40
11/26/2014 23:05  0 0  0
11/26/2014 23:10  0 0  0
11/26/2014 23:15 1.07 0 0  0
11/26/2014 23:20  0 0  0
11/26/2014 23:25  0 0  0
11/26/2014 23:30 1.06 0 0  0
11/26/2014 23:35  0 0  0
11/26/2014 23:40  0 0  0
11/26/2014 23:45 1.05 0 0  0
11/26/2014 23:50  0 0  0
11/26/2014 23:55  0 0  0
11/27/2014 0:00 1.04 0 0 41 41
11/27/2014 0:05  0 0  0
11/27/2014 0:10  0 0  0
11/27/2014 0:15 1.04 0 0  0
11/27/2014 0:20  0 0  0
11/27/2014 0:25  0 0  0
11/27/2014 0:30 1.04 0 0  0
11/27/2014 0:35  0 0  0
11/27/2014 0:40  0 0  0
11/27/2014 0:45 1.04 0 0  0
11/27/2014 0:50  0 0  0
11/27/2014 0:55  0 0  0
11/27/2014 1:00 1.03 0 0 42 42
11/27/2014 1:05  0 0  0
11/27/2014 1:10  0 0  0
11/27/2014 1:15 1.03 0 0  0
11/27/2014 1:20  0 0  0
11/27/2014 1:25  0 0  0
11/27/2014 1:30 1.02 0 0  0
11/27/2014 1:35  0 0  0
11/27/2014 1:40  0 0  0
11/27/2014 1:45 1.01 0 0  0
11/27/2014 1:50  0 0  0
11/27/2014 1:55  0 0  0
11/27/2014 2:00 1 0 0 42 42
11/27/2014 2:05  0 0  0
11/27/2014 2:10  0 0  0
11/27/2014 2:15 1 0 0  0
11/27/2014 2:20  0 0  0
11/27/2014 2:25  0 0  0
11/27/2014 2:30 1 0 0  0
11/27/2014 2:35  0 0  0
11/27/2014 2:40  0 0  0
11/27/2014 2:45 1.01 0 0  0
11/27/2014 2:50  0 0  0
11/27/2014 2:55  0 0  0
11/27/2014 3:00 1.01 0 0 42 42
11/27/2014 3:05  0 0  0
11/27/2014 3:10  0 0  0
11/27/2014 3:15 1.01 0 0  0
11/27/2014 3:20  0 0  0
11/27/2014 3:25  0 0  0
11/27/2014 3:30 1.01 0 0  0
11/27/2014 3:35  0 0  0
11/27/2014 3:40  0 0  0
11/27/2014 3:45 1.01 0 0  0
11/27/2014 3:50  0 0  0
11/27/2014 3:55  0 0  0
11/27/2014 4:00 1.01 0 0 44 44
11/27/2014 4:05  0 0  0
11/27/2014 4:10  0 0  0
11/27/2014 4:15 1 0 0  0
11/27/2014 4:20  0 0  0
11/27/2014 4:25  0 0  0
11/27/2014 4:30 1 0 0  0
11/27/2014 4:35  0 0  0
11/27/2014 4:40  0 0  0
11/27/2014 4:45 1 0 0  0
11/27/2014 4:50  0 0  0
11/27/2014 4:55  0 0  0
11/27/2014 5:00 0.99 0 0 43 43
11/27/2014 5:05  0 0  0
11/27/2014 5:10  0 0  0
11/27/2014 5:15 0.99 0 0  0
11/27/2014 5:20  0 0  0
11/27/2014 5:25  0 0  0
11/27/2014 5:30 0.99 0 0  0
11/27/2014 5:35  0 0  0
11/27/2014 5:40  0 0  0
11/27/2014 5:45 0.99 0 0  0
11/27/2014 5:50  0 0  0
11/27/2014 5:55  0 0  0
11/27/2014 6:00 0.99 0 0 43 43
11/27/2014 6:05  0 0  0
11/27/2014 6:10  0 0  0
11/27/2014 6:15 0.99 0 0  0
